"","user name","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","tweets date","tweet "
"narendramodi.15","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-07 06:21:01,"                                                                                                                  tcondzskmunm"
"narendramodi.16","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-07 06:19:45,"one of the most satisfying parts of my programme with bjpindia karyakartas was the opportunity to connect and int  tcoqhzkwh"
"narendramodi.17","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-07 02:57:11,"i welcome the theme  universal health coverage everyone everywhere  that has been chosen by who and others it i  tcodkrhoug"
"narendramodi.18","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-07 02:53:45,"good health is the foundation of human progress this worldhealthday i wish all of you remain in the best health  tcorgolwsb"
"narendramodi.19","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-07 02:50:45,"                                                                                       "
"narendramodi.20","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:29:09,"delighted to meet the prime minister of nepal mr kp sharma oli tcomekjkxbdn"
"narendramodi.21","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:23:56,"my sisters and brothers from north east delhi joined today s interaction in record numbers i thank everyone for ta  tcojkumcjuwp"
"narendramodi.22","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:23:13,"glad to have got the opportunity to interact with karyakartas of new delhi lok sabha seat i appreciate the local b  tcoxxydppfde"
"narendramodi.23","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:22:03,"gratitude to the bjp karyakartas in saran for joining today s interaction mp rajivprataprudy is doing wonderful w  tcoskonfcsvx"
"narendramodi.24","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:20:53,"on bjpindia s sthapana diwas delighted to interact with karyakartas from mumbai a city closely associated with  tcotapydtzun"
"narendramodi.25","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:17:46,"i am told there was immense enthusiasm in hamirpur constituency for today s interaction it is always a delight to  tcobidpszyak"
"narendramodi.26","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 14:16:28,"today s interaction with district bjp heads from all over india and party karyakartas in  lok sabha seats was an o  tcojvoxxmhy"
"narendramodi.27","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 03:09:24,"at  this evening i look forward to a very special interaction i will interact with thousands of bjpindia ka  tcoyeywknoqh"
"narendramodi.28","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 02:41:45,"i thank my sisters and brothers of india for their unwavering faith in bjpindia it is our commitment that we wil  tcofjmjvmg"
"narendramodi.29","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 02:35:53,"the bjp is the party of a new india we are privileged to receive the blessings of people of all age groups across  tconctavrybfq"
"narendramodi.30","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 02:31:02,"for bjpindia the karyakartas are everything they are the heart and soul of the party whose sweat has taken the  tcomffjktuv"
"narendramodi.31","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-06 02:25:18,"i bow all bjpindia karyakartas on the special occasion of the party s sthapana diwas   we remember with great p  tcoxamwqxaaag"
"narendramodi.32","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-05 04:21:36,"ardha chakrasana brings immense joy and advantages which you can best experience by regularly practising it  tcogyntlagzk"
"narendramodi.33","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-05 02:43:01,"our efforts for a vibrant maritime sector are inspired by dr babasaheb ambedkar it was babasaheb who gave topmost  tcojckzkdonq"
"narendramodi.34","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-05 02:37:36,"the maritime sector in india with its rich history has the potential to power our nation s transformation  on na  tcouuufqsq"
"narendramodi.35","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-05 02:32:20,"selfmade and industrious the contribution of babu jagjivan ram can never be forgotten as a freedom fighter and v  tcoegqlisoket"
"narendramodi.36","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-04 11:25:09,"                                                                                        tcofutcqoxg"
"narendramodi.37","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-04 11:24:33,"                                                                                                                tcogsohkhiip"
"narendramodi.38","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-04 11:24:03,"on th april a day before ambedkar jayanti i will have the honour to inaugurate the memorial at delhi s  alip  tcokupxjcghn"
"narendramodi.39","Prime Minister of India",18726,41788594,0,1937,"http://t.co/i7NW4Bof2G","Narendra Modi",2009-01-10 17:18:56,FALSE,TRUE,"narendramodi","India","en","18839785",22067,FALSE,"http://pbs.twimg.com/profile_images/718314968102367232/ypY1GPCQ_normal.jpg",2018-04-04 11:21:45,"inaugurated the newly constructed western court annexe in delhi i congratulate speaker sumitra mahajan ji and all  tcoukufvktao"
