"","a",""
"60","1","commonwealth games  indian table tennis teams winning moment in gold coast watch video tcoxvhhodlrq"
"61","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"62","1","gold coast blushes as oncourt proposal of a lifetime finds the basket tcoabnizqdng"
"63","1","smartstate gold coast  captivating the australian and commonwealth public smartstate teamcommonwealth gc"
"64","1","roses into commonwealth semis england have secured a spot in the gold coast  comm tcoibtmejavu tcowhnnjdzma"
"65","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"66","1","rt australia music culture arts and theatre  its all happening at festival on the gold coast right now video matjoezqueen "
"67","1","rt australia gold coast local didga is still in denial that skateboarding isnt part of gc luckily theres loads for him to do "
"68","1","stay tuned with air fm rainbow for fm updates on st commonwealth games  being held in gold coast australia f  tcofhcmjwur"
"69","1","well done to england netball who are guaranteed a semifinal place at the gold coast  commonwealth games after  tcoifdhajlav"
"70","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"71","1","rt firstpostsports mehuli ghosh won the silver medal after forcing a shootoff in the womens m air rifle event with a perfect final sh "
"72","1","rt aajtak                                                                                               tcoztgivchx"
"73","1","paralympic champion and war hero curtis mcgrath has accepted an apology from gold coast  officials over the way  tcozpinycipq"
"74","1","t                                                                                                   tcoiazhkzd"
"75","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"76","1","rt firstpostsports its time for the mixed team event final at gc                            take on defending and threetime champions                          for a place in "
"77","1","rt spnsportsindia its super sunday  and poonamyadav lifts gold for india in womens  kg weightlifting at gold coast  commonwealt "
"78","1","rt britishswimming gcswimming day    finals start in just under  hours time  find out who will be taking to the water for the hom "
"79","1","rt britishswimming gcswimming day    finals start in just under  hours time  find out who will be taking to the water for the hom "
"80","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"81","1","livekhabar rt firstpostsports the malaysians have upped their game and now lead  in the nd game   everyt  tcoosriypkvy"
"82","1","zalikaoktavia memang susah sih coba pakai turbo vpn terus buka ini tcoyfhcudglcw"
"83","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"84","1","result nile wilson claims another gold  tconngjhigrq via tcotlvlyszjpw"
"85","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"86","1","rt badmintontalk kalo mimin sih nonton di hp pake turbo vpn terus buka tcodameowakl atau tcoyfhcudglcw  emang agak s "
"87","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"88","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"89","1","kalo mimin sih nonton di hp pake turbo vpn terus buka tcodameowakl atau tcoyfhcudglcw  emang a  tcoghguzvlzih"
"90","1","rt moneydigests dontsaybojio  off airfares to taipei phuket gold coast melbourne sydney and more  share and tag a travel buddy "
"91","1","rt singpromos scoot  off selected fares  taipei phuket gold coast amp more  for oneday tomorrow  apr  tcopfxwkcipk "
"92","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"93","1","rt nepalflash cwg                                                             hindustan       tcouuultlcg"
"94","1","rt adgpi indian shooting ace subedar jitu rai of   gorkha rifles claimed the gold medal in mens m air pistol event at the commonwe "
"95","1","volcanic enters into option agreement to acquire gold properties in the ivory coast tcouwyiokplo tcobqhvmqssi"
"96","1","with the gold coast  commonwealth games underway our para athletes are making there final preparations before t  tcougnqnwpl"
"97","1","gold coast  commonwealth games update  exclusive interview with millicent agboegbulem of nigeria after she qual  tcomzoesefqgk"
"98","1","rt firstpostsports  and we have a decider  the malaysians have come back strongly in the nd game and their relentless attacking "
"99","1"," and we have a decider  the malaysians have come back strongly in the nd game and their relentless attack  tcoajgmzlqji"
"100","1","malaysia win the second game to make it  against india in the first match of gcbadminton mixed team final  tcofkmvlgqs"
